asset_ref,no_damage,slight,moderate,extreme,complete
a1166,2.075454134E+02,1.982532152E+00,1.138819242E+00,2.606817998E-01,7.255337610E-02
a1167,2.071875197E+02,2.189131679E+00,1.257306072E+00,2.870653757E-01,7.897720733E-02
a1168,2.084766787E+02,2.022371358E+00,1.161479804E+00,2.656869756E-01,7.378312798E-02
a1169,2.073021262E+02,2.660586530E+00,1.557422753E+00,3.696222977E-01,1.102421858E-01
a117,2.936879007E+00,3.498581680E-02,2.091933644E-02,5.278336088E-03,1.937503395E-03
a1170,2.095633221E+02,1.970834695E+00,1.132960870E+00,2.599469781E-01,7.293533455E-02
a1171,2.085105356E+02,2.505806120E+00,1.487369602E+00,3.682918676E-01,1.279967806E-01
a1172,2.095271134E+02,2.568430051E+00,1.475369237E+00,3.364453938E-01,9.264190573E-02
a1173,2.096227059E+02,2.492492793E+00,1.447005418E+00,3.384322427E-01,9.936365486E-02
a1174,2.101804027E+02,2.186437465E+00,1.260686146E+00,2.905914538E-01,8.188225028E-02
a1175,2.104323941E+02,2.046808325E+00,1.176001049E+00,2.694038008E-01,7.539276128E-02
a1176,2.102561576E+02,2.147180510E+00,1.235301786E+00,2.831238863E-01,7.823618624E-02
a1177,2.108227230E+02,2.403943059E+00,1.378077633E+00,3.121864229E-01,8.306983934E-02
a1178,2.114085478E+02,2.058750373E+00,1.183584418E+00,2.718571725E-01,7.726024578E-02
a1179,2.113090315E+02,2.120108803E+00,1.216737610E+00,2.776350363E-01,7.648703862E-02
a118,2.948809356E+00,2.926012400E-02,1.689258818E-02,3.912689642E-03,1.125242453E-03
a1180,2.123242026E+02,2.590671212E+00,1.552360233E+00,3.917906468E-01,1.409753481E-01
a1181,2.141083461E+02,2.236317927E+00,1.283535523E+00,2.923999879E-01,7.940045763E-02
a1182,2.139983632E+02,2.292723404E+00,1.320209333E+00,3.034295260E-01,8.527450554E-02
a1183,2.153353615E+02,2.678226703E+00,1.538422086E+00,3.509138976E-01,9.707585112E-02
a1184,2.159421012E+02,2.866775546E+00,1.676191479E+00,3.968271657E-01,1.181046306E-01
a1185,2.198359210E+02,2.386265703E+00,1.374576029E+00,3.156340525E-01,8.760323041E-02
a1186,2.208509500E+02,1.800172592E+00,1.038521098E+00,2.407874003E-01,6.956888331E-02
a1187,2.210775619E+02,2.243930344E+00,1.294402854E+00,2.989743174E-01,8.513055567E-02
a1188,2.222113382E+02,2.169523239E+00,1.249671742E+00,2.879224464E-01,8.154432807E-02
a1189,2.218227549E+02,2.389543815E+00,1.378139985E+00,3.182945173E-01,9.126681570E-02
a119,2.957714198E+00,2.410842996E-02,1.394903193E-02,3.259824995E-03,9.685148400E-04
a1190,2.212998119E+02,2.691618801E+00,1.551991292E+00,3.567986365E-01,9.977941152E-02
a1191,2.194173299E+02,3.775870610E+00,2.174966492E+00,4.956948669E-01,1.361381653E-01
a1192,2.229561785E+02,2.319970082E+00,1.333870847E+00,3.054131575E-01,8.456736555E-02
a1193,2.234585800E+02,2.020656128E+00,1.167295865E+00,2.720531187E-01,8.141488835E-02
a1194,2.224957167E+02,2.541312145E+00,1.492135252E+00,3.584693136E-01,1.123666372E-01
a1195,2.230261250E+02,2.759472898E+00,1.649831146E+00,4.149626366E-01,1.496082857E-01
a1196,2.254669218E+02,2.020894874E+00,1.164688638E+00,2.694347366E-01,7.805991895E-02
a1197,2.254744308E+02,2.005762972E+00,1.163752444E+00,2.735528825E-01,8.250091814E-02
a1198,2.262748260E+02,2.123550717E+00,1.229597554E+00,2.872214219E-01,8.480435647E-02
a1199,2.256976800E+02,2.456499755E+00,1.421653811E+00,3.300034690E-01,9.416292350E-02
a12,9.815511563E-01,1.081938524E-02,6.055635273E-03,1.291749165E-03,2.820739790E-04
a120,2.937441789E+00,3.477294144E-02,2.074259847E-02,5.193083970E-03,1.849587572E-03
a1200,2.250395987E+02,2.753315457E+00,1.646270779E+00,4.134899066E-01,1.473252064E-01
a1201,2.260733058E+02,2.246710315E+00,1.294041710E+00,2.988854812E-01,8.705669330E-02
a1202,2.265529717E+02,2.548823626E+00,1.467234171E+00,3.367201039E-01,9.425038147E-02
a1203,2.237628435E+02,4.119482509E+00,2.393246216E+00,5.579502562E-01,1.664775472E-01
