rupture_tag,aggregate_loss,insured_loss
col=00~ses=0003~src=376-184~rup=001-01,9.0635469E+04,0.0000000E+00
col=00~ses=0003~src=376-198~rup=002-01,1.6919526E+06,0.0000000E+00
col=00~ses=0003~src=386-59~rup=001-01,1.9447968E+07,0.0000000E+00
col=00~ses=0004~src=226-119~rup=001-01,1.5923028E+06,0.0000000E+00
col=00~ses=0004~src=226-35~rup=002-01,6.8948281E+04,0.0000000E+00
col=00~ses=0004~src=226-63~rup=003-01,3.6009270E+04,0.0000000E+00
col=00~ses=0004~src=227-157~rup=002-01,6.5813587E+08,1.3730593E+03
col=00~ses=0004~src=227-25~rup=001-01,5.5548344E+05,0.0000000E+00
col=00~ses=0004~src=227-46~rup=001-01,8.6532600E+06,0.0000000E+00
col=00~ses=0004~src=228-112~rup=001-01,7.5548312E+07,0.0000000E+00
col=00~ses=0004~src=228-85~rup=001-01,8.3441544E+05,0.0000000E+00
col=00~ses=0004~src=229-100~rup=001-01,2.5682538E+08,0.0000000E+00
col=00~ses=0004~src=229-116~rup=004-01,1.7926481E+09,6.2082417E+01
col=00~ses=0004~src=229-123~rup=001-01,1.6686947E+08,6.5021095E+00
col=00~ses=0004~src=229-12~rup=001-01,3.8975645E+08,0.0000000E+00
col=00~ses=0004~src=229-158~rup=002-01,2.0141653E+08,1.5014248E+03
col=00~ses=0004~src=229-24~rup=002-01,3.4142330E+08,2.0646946E+03
col=00~ses=0004~src=229-56~rup=002-01,2.6647597E+08,3.1141926E+03
col=00~ses=0004~src=230-101~rup=001-01,6.0640781E+08,0.0000000E+00
col=00~ses=0004~src=230-154~rup=004-01,2.1921068E+09,1.3534491E+02
col=00~ses=0004~src=230-20~rup=001-01,1.4141911E+09,0.0000000E+00
col=00~ses=0004~src=230-76~rup=001-01,1.0698716E+09,0.0000000E+00
col=00~ses=0004~src=230-96~rup=001-01,6.1657248E+08,0.0000000E+00
col=00~ses=0004~src=231-114~rup=001-01,4.3987059E+08,0.0000000E+00
col=00~ses=0004~src=231-114~rup=004-01,1.3363724E+09,0.0000000E+00
col=00~ses=0004~src=231-22~rup=003-01,8.5945357E+08,0.0000000E+00
col=00~ses=0004~src=231-244~rup=001-01,3.3321466E+08,0.0000000E+00
col=00~ses=0004~src=231-275~rup=001-01,2.6801634E+08,0.0000000E+00
col=00~ses=0004~src=232-24~rup=001-01,1.2657730E+08,3.8118679E+03
col=00~ses=0004~src=232-53~rup=001-01,2.3686581E+08,1.6456390E+03
col=00~ses=0004~src=232-69~rup=001-01,2.7858694E+08,0.0000000E+00
col=00~ses=0004~src=233-5~rup=002-01,2.5255632E+07,0.0000000E+00
col=00~ses=0004~src=233-89~rup=002-01,1.3234214E+08,2.3113396E+04
col=00~ses=0004~src=234-110~rup=001-01,2.1407854E+08,6.0891551E-01
col=00~ses=0004~src=234-123~rup=001-01,2.0988443E+08,3.4126059E+04
