Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0006|src=229-10|rup=001-01,5.2500000,140257891.6220000
smlt=00|ses=0003|src=230-339|rup=002-01,5.7500000,139743282.7190000
smlt=00|ses=0002|src=230-326|rup=001-02,5.2500000,139271316.9960000
smlt=00|ses=0001|src=232-0|rup=001-01,5.2500000,138780857.4020000
smlt=00|ses=0008|src=232-11|rup=002-01,5.7500000,138344989.7780000
smlt=00|ses=0009|src=229-170|rup=002-01,5.7500000,137836027.0100000
smlt=00|ses=0006|src=229-160|rup=003-01,6.2500000,137122530.7580000
smlt=00|ses=0002|src=234-54|rup=001-01,5.2500000,136020759.7780000
smlt=00|ses=0004|src=234-149|rup=004-01,6.7500000,135853872.4170000
smlt=00|ses=0002|src=232-70|rup=001-01,5.2500000,135575040.8860000
smlt=00|ses=0009|src=229-58|rup=001-01,5.2500000,135312417.8490000
smlt=00|ses=0007|src=229-24|rup=001-01,5.2500000,134620636.1230000
smlt=00|ses=0005|src=232-7|rup=004-01,6.7500000,134587756.3080000
smlt=00|ses=0001|src=232-79|rup=001-01,5.2500000,133871352.0700000
smlt=00|ses=0004|src=229-3|rup=001-01,5.2500000,133077996.0530000
smlt=00|ses=0005|src=234-31|rup=001-01,5.2500000,132499155.2240000
smlt=00|ses=0008|src=234-98|rup=003-01,6.2500000,132035491.4640000
smlt=00|ses=0007|src=229-110|rup=002-01,5.7500000,131537753.1410000
smlt=00|ses=0003|src=229-57|rup=001-01,5.2500000,130969877.7810000
smlt=00|ses=0008|src=230-304|rup=001-01,5.2500000,130824213.6390000
smlt=00|ses=0010|src=229-152|rup=001-01,5.2500000,130569469.4150000
smlt=00|ses=0006|src=234-132|rup=001-01,5.2500000,130136734.0080000
smlt=00|ses=0007|src=230-320|rup=001-01,5.2500000,129869366.9250000
smlt=00|ses=0006|src=234-35|rup=001-01,5.2500000,129726630.8960000
smlt=00|ses=0010|src=234-144|rup=001-01,5.2500000,129270091.2710000
smlt=00|ses=0001|src=234-130|rup=001-01,5.2500000,129258174.6210000
smlt=00|ses=0005|src=230-169|rup=002-01,5.7500000,128669172.8100000
smlt=00|ses=0006|src=229-42|rup=001-01,5.2500000,127396579.4800000
smlt=00|ses=0002|src=234-19|rup=001-01,5.2500000,126665470.5910000
smlt=00|ses=0002|src=231-277|rup=001-01,5.2500000,126188809.0380000
smlt=00|ses=0002|src=229-172|rup=001-01,5.2500000,125756599.0080000
smlt=00|ses=0003|src=232-77|rup=001-01,5.2500000,124915220.5500000
smlt=00|ses=0007|src=231-269|rup=001-01,5.2500000,123069851.7540000
smlt=00|ses=0004|src=234-121|rup=002-01,5.7500000,123020796.4130000
smlt=00|ses=0009|src=232-110|rup=001-01,5.2500000,122264006.0940000
