Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0007|src=234-46|rup=001-01,5.2500000,237954678.0480000
smlt=00|ses=0001|src=234-42|rup=001-01,5.2500000,237081609.4380000
smlt=00|ses=0009|src=229-139|rup=001-01,5.2500000,236528084.5890000
smlt=00|ses=0003|src=229-174|rup=002-01,5.7500000,235953818.2270000
smlt=00|ses=0006|src=229-10|rup=001-01,5.2500000,234977503.9920000
smlt=00|ses=0010|src=232-32|rup=003-01,6.2500000,234036738.0180000
smlt=00|ses=0003|src=230-339|rup=002-01,5.7500000,232895321.3700000
smlt=00|ses=0002|src=230-326|rup=001-02,5.2500000,230145215.2580000
smlt=00|ses=0006|src=234-40|rup=001-01,5.2500000,229409574.8430000
smlt=00|ses=0006|src=229-160|rup=003-01,6.2500000,229317692.5530000
smlt=00|ses=0008|src=232-11|rup=002-01,5.7500000,228727872.0310000
smlt=00|ses=0007|src=229-24|rup=001-01,5.2500000,226221184.5610000
smlt=00|ses=0009|src=229-170|rup=002-01,5.7500000,225420807.8990000
smlt=00|ses=0002|src=234-54|rup=001-01,5.2500000,225341732.8520000
smlt=00|ses=0009|src=229-58|rup=001-01,5.2500000,225207761.0280000
smlt=00|ses=0001|src=232-79|rup=001-01,5.2500000,223793309.6070000
smlt=00|ses=0005|src=386-51|rup=001-01,5.2500000,223006858.3340000
smlt=00|ses=0002|src=232-70|rup=001-01,5.2500000,221433472.3570000
smlt=00|ses=0004|src=234-149|rup=004-01,6.7500000,220719167.3390000
smlt=00|ses=0001|src=232-0|rup=001-01,5.2500000,220690835.2540000
smlt=00|ses=0008|src=234-98|rup=003-01,6.2500000,220026624.6060000
smlt=00|ses=0006|src=231-220|rup=001-01,5.2500000,219545033.1480000
smlt=00|ses=0005|src=234-31|rup=001-01,5.2500000,218950113.6570000
smlt=00|ses=0003|src=229-57|rup=001-01,5.2500000,218443428.4260000
smlt=00|ses=0008|src=230-304|rup=001-01,5.2500000,217002561.9720000
smlt=00|ses=0005|src=232-7|rup=004-01,6.7500000,216797166.8770000
smlt=00|ses=0004|src=229-3|rup=001-01,5.2500000,216761648.0810000
smlt=00|ses=0010|src=229-152|rup=001-01,5.2500000,216034887.5950000
smlt=00|ses=0007|src=229-110|rup=002-01,5.7500000,215057277.0410000
smlt=00|ses=0002|src=229-172|rup=001-01,5.2500000,213521930.2850000
smlt=00|ses=0006|src=234-35|rup=001-01,5.2500000,213332750.7790000
smlt=00|ses=0005|src=230-169|rup=002-01,5.7500000,213263621.5830000
smlt=00|ses=0001|src=234-130|rup=001-01,5.2500000,211933430.3700000
smlt=00|ses=0006|src=234-132|rup=001-01,5.2500000,211360107.8110000
smlt=00|ses=0010|src=234-144|rup=001-01,5.2500000,211012800.0010000
smlt=00|ses=0006|src=229-42|rup=001-01,5.2500000,210641375.0560000
smlt=00|ses=0003|src=232-77|rup=001-01,5.2500000,209461568.2880000
smlt=00|ses=0002|src=231-277|rup=001-01,5.2500000,208951282.6340000
smlt=00|ses=0007|src=230-320|rup=001-01,5.2500000,208423483.2480000
smlt=00|ses=0007|src=231-269|rup=001-01,5.2500000,204131768.5120000
smlt=00|ses=0002|src=234-19|rup=001-01,5.2500000,203597482.1300000
smlt=00|ses=0009|src=232-110|rup=001-01,5.2500000,202860762.8760000
smlt=00|ses=0009|src=234-126|rup=002-01,5.7500000,200775319.3130000
smlt=00|ses=0004|src=234-121|rup=002-01,5.7500000,199177216.8750000
smlt=00|ses=0004|src=234-14|rup=001-01,5.2500000,199069447.3250000
smlt=00|ses=0009|src=229-156|rup=001-01,5.2500000,194924316.9090000
smlt=00|ses=0004|src=232-73|rup=001-01,5.2500000,194687297.6000000
smlt=00|ses=0004|src=234-26|rup=004-01,6.7500000,194611552.5480000
smlt=00|ses=0008|src=232-72|rup=001-01,5.2500000,194274962.5740000
smlt=00|ses=0007|src=235-399|rup=001-01,5.2500000,194225387.0160000
smlt=00|ses=0005|src=230-111|rup=001-01,5.2500000,194033598.7850000
smlt=00|ses=0007|src=230-302|rup=001-01,5.2500000,193412818.1870000
smlt=00|ses=0003|src=234-93|rup=002-01,5.7500000,192967398.4560000
smlt=00|ses=0004|src=234-28|rup=001-01,5.2500000,192965675.4890000
smlt=00|ses=0003|src=234-108|rup=001-01,5.2500000,191686111.2170000
smlt=00|ses=0001|src=232-58|rup=001-01,5.2500000,190920210.7590000
smlt=00|ses=0007|src=234-138|rup=002-01,5.7500000,189263075.9910000
smlt=00|ses=0007|src=234-31|rup=001-01,5.2500000,188905365.2540000
smlt=00|ses=0004|src=234-89|rup=001-01,5.2500000,188351997.2250000
smlt=00|ses=0002|src=230-326|rup=001-01,5.2500000,187674775.8730000
smlt=00|ses=0003|src=234-15|rup=001-01,5.2500000,187334909.7570000
smlt=00|ses=0008|src=229-167|rup=001-01,5.2500000,186892912.1130000
smlt=00|ses=0007|src=235-396|rup=005-01,7.2500000,184571198.2880000
smlt=00|ses=0010|src=235-460|rup=002-01,5.7500000,183933808.4070000
smlt=00|ses=0006|src=232-26|rup=001-01,5.2500000,183892400.4080000
smlt=00|ses=0001|src=232-43|rup=001-01,5.2500000,183432928.1080000
smlt=00|ses=0008|src=232-62|rup=001-01,5.2500000,182590337.0540000
smlt=00|ses=0007|src=232-53|rup=002-01,5.7500000,182249710.6420000
smlt=00|ses=0001|src=234-66|rup=001-01,5.2500000,181261497.8060000
smlt=00|ses=0007|src=232-67|rup=001-01,5.2500000,180940111.0040000
smlt=00|ses=0001|src=234-129|rup=002-01,5.7500000,179649648.6630000
smlt=00|ses=0002|src=229-163|rup=001-01,5.2500000,179425210.9230000
smlt=00|ses=0007|src=234-112|rup=001-01,5.2500000,179343926.9190000
smlt=00|ses=0002|src=232-1|rup=002-01,5.7500000,178529586.4190000
smlt=00|ses=0002|src=235-459|rup=002-01,5.7500000,176210907.5620000
smlt=00|ses=0004|src=232-90|rup=001-01,5.2500000,175473361.6690000
smlt=00|ses=0009|src=230-333|rup=001-01,5.2500000,175146769.6300000
smlt=00|ses=0004|src=230-344|rup=001-01,5.2500000,174921820.3490000
smlt=00|ses=0010|src=229-111|rup=001-01,5.2500000,174527247.5490000
smlt=00|ses=0001|src=234-60|rup=003-01,6.2500000,173691330.2250000
smlt=00|ses=0006|src=234-13|rup=002-01,5.7500000,172812645.8160000
smlt=00|ses=0006|src=235-329|rup=003-01,6.2500000,172001752.5590000
smlt=00|ses=0002|src=234-81|rup=001-01,5.2500000,171721748.2350000
smlt=00|ses=0005|src=235-427|rup=001-01,5.2500000,169540667.0470000
smlt=00|ses=0003|src=234-98|rup=001-01,5.2500000,168792118.1860000
smlt=00|ses=0008|src=235-409|rup=003-01,6.2500000,167223595.6670000
smlt=00|ses=0002|src=235-411|rup=001-01,5.2500000,165225934.4210000
smlt=00|ses=0007|src=232-29|rup=001-01,5.2500000,164760690.0080000
smlt=00|ses=0002|src=232-113|rup=001-01,5.2500000,164584036.5090000
smlt=00|ses=0007|src=234-94|rup=001-01,5.2500000,164314489.0420000
smlt=00|ses=0009|src=234-73|rup=004-01,6.7500000,162560823.6270000
smlt=00|ses=0002|src=234-69|rup=002-01,5.7500000,162475469.7680000
smlt=00|ses=0004|src=235-501|rup=001-01,5.2500000,162153107.9340000
smlt=00|ses=0001|src=234-128|rup=001-01,5.2500000,162148029.5280000
smlt=00|ses=0004|src=232-41|rup=001-01,5.2500000,161731322.4050000
smlt=00|ses=0008|src=229-159|rup=001-01,5.2500000,160739115.2170000
smlt=00|ses=0002|src=232-52|rup=001-01,5.2500000,159901721.9960000
smlt=00|ses=0009|src=227-193|rup=001-01,5.2500000,159627215.2880000
smlt=00|ses=0004|src=234-106|rup=002-01,5.7500000,159536145.6020000
smlt=00|ses=0006|src=234-8|rup=002-01,5.7500000,159336722.8960000
smlt=00|ses=0001|src=234-95|rup=002-01,5.7500000,156778614.2520000
smlt=00|ses=0004|src=234-98|rup=001-01,5.2500000,154839659.1940000
smlt=00|ses=0006|src=227-136|rup=004-01,6.7500000,153898866.5630000
smlt=00|ses=0004|src=230-322|rup=001-01,5.2500000,153262377.3160000
smlt=00|ses=0006|src=234-94|rup=002-01,5.7500000,153143504.4750000
smlt=00|ses=0004|src=234-76|rup=001-01,5.2500000,151867291.5120000
smlt=00|ses=0008|src=232-43|rup=001-01,5.2500000,151057993.7460000
smlt=00|ses=0008|src=232-59|rup=001-01,5.2500000,150473729.8290000
smlt=00|ses=0001|src=229-166|rup=001-01,5.2500000,150408592.5520000
smlt=00|ses=0008|src=386-5|rup=001-01,5.2500000,149841582.3290000
smlt=00|ses=0001|src=227-150|rup=003-01,6.2500000,149309830.3350000
smlt=00|ses=0007|src=233-54|rup=001-01,5.2500000,149071204.0070000
smlt=00|ses=0001|src=232-15|rup=001-01,5.2500000,148673780.4430000
smlt=00|ses=0001|src=235-371|rup=002-01,5.7500000,148346972.1480000
smlt=00|ses=0009|src=235-207|rup=001-01,5.2500000,147500631.9320000
